#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2016-05-31 02:06:30
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-31 02:06:30 127.0.0.1 GET / action=ishyoboy_get_tweets&username=NadiehBremer&count=3 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.63+Safari/537.36 http://www.visualcinnamon.com/ 200 0 0 582
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2016-05-31 03:47:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__FilterToConsumerBinding.Consumer="NTEventLogEventConsumer.Name=/"SCM+Event+Log+Consumer/"",Filter="__EventFilter.Name=/"SCM+Event+Log+Filter/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__FilterToConsumerBinding.Consumer="NTEventLogEventConsumer.Name=/"SCM+Event+Log+Consumer/"",Filter="__EventFilter.Name=/"SCM+Event+Log+Filter - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__FilterToConsumerBinding.Consumer="NTEventLogEventConsumer.Name=/"SCM+Event+Log+Consumer/"",Filter="__EventFilter.Name=/"SCM+Event+Log+Filter - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__FilterToConsumerBinding.Consumer="NTEventLogEventConsumer.Name=/"SCM+Event+Log+Consumer/"",Filter="__EventFilter.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:24 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:25 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name=/"CommandLineEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:26 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/subscription:__EventConsumerProviderRegistration.provider="/root/subscription:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"LogFileEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"NTEventLogEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"ActiveScriptEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 17
2016-05-31 04:24:28 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name= - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:30 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"SMTPEventConsumer/"" - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
2016-05-31 04:24:30 fe80::691a:8da2:1312:f280%8 PROPFIND /ROOT/default:__EventConsumerProviderRegistration.provider="/root/default:__Win32Provider.Name=/"SMTPEventConsumer - 80 - fe80::691a:8da2:1312:f280%8 Microsoft-WebDAV-MiniRedir/10.0.10586 - 404 0 2 0
